Statistic Label,Year,Type of Building and Construction,UNIT,VALUE
Value of Production Index in Building and Construction,2022,All building and construction,Base 2015=100,166.2297828
Value of Production Index in Building and Construction,2022,Building (excluding civil engineering),Base 2015=100,172.9242827
Value of Production Index in Building and Construction,2022,Residential building,Base 2015=100,146.9272408
Value of Production Index in Building and Construction,2022,Non-residential building,Base 2015=100,176.9519934
Value of Production Index in Building and Construction,2022,Civil engineering,Base 2015=100,135.7326163
Volume of Production Index in Building and Construction,2000,All building and construction,Base 2015=100,218.5113705
Volume of Production Index in Building and Construction,2000,Building (excluding civil engineering),Base 2015=100,281.1015359
Volume of Production Index in Building and Construction,2000,Residential building,Base 2015=100,471.8677631
Volume of Production Index in Building and Construction,2000,Non-residential building,Base 2015=100,148.3311414
Volume of Production Index in Building and Construction,2000,Civil engineering,Base 2015=100,86.99546365
Volume of Production Index in Building and Construction,2001,All building and construction,Base 2015=100,225.9112599
Volume of Production Index in Building and Construction,2001,Building (excluding civil engineering),Base 2015=100,285.8046469
Volume of Production Index in Building and Construction,2001,Residential building,Base 2015=100,490.8545469
Volume of Production Index in Building and Construction,2001,Non-residential building,Base 2015=100,142.1090209
Volume of Production Index in Building and Construction,2001,Civil engineering,Base 2015=100,97.61919743
Volume of Production Index in Building and Construction,2002,All building and construction,Base 2015=100,230.5974013
Volume of Production Index in Building and Construction,2002,Building (excluding civil engineering),Base 2015=100,283.5458549
Volume of Production Index in Building and Construction,2002,Residential building,Base 2015=100,499.1073982
Volume of Production Index in Building and Construction,2002,Non-residential building,Base 2015=100,131.4658906
Volume of Production Index in Building and Construction,2002,Civil engineering,Base 2015=100,112.6955983
Volume of Production Index in Building and Construction,2003,All building and construction,Base 2015=100,243.6513831
Volume of Production Index in Building and Construction,2003,Building (excluding civil engineering),Base 2015=100,302.6443197
Volume of Production Index in Building and Construction,2003,Residential building,Base 2015=100,554.6739701
Volume of Production Index in Building and Construction,2003,Non-residential building,Base 2015=100,123.0978264
Volume of Production Index in Building and Construction,2003,Civil engineering,Base 2015=100,114.2177579
Volume of Production Index in Building and Construction,2004,All building and construction,Base 2015=100,305.5688523
Volume of Production Index in Building and Construction,2004,Building (excluding civil engineering),Base 2015=100,385.6701681
Volume of Production Index in Building and Construction,2004,Residential building,Base 2015=100,731.6334288
Volume of Production Index in Building and Construction,2004,Non-residential building,Base 2015=100,139.329466
Volume of Production Index in Building and Construction,2004,Civil engineering,Base 2015=100,129.6986093
Volume of Production Index in Building and Construction,2005,All building and construction,Base 2015=100,335.764695
Volume of Production Index in Building and Construction,2005,Building (excluding civil engineering),Base 2015=100,422.5504678
Volume of Production Index in Building and Construction,2005,Residential building,Base 2015=100,806.3406191
Volume of Production Index in Building and Construction,2005,Non-residential building,Base 2015=100,149.2978282
Volume of Production Index in Building and Construction,2005,Civil engineering,Base 2015=100,145.2412398
Volume of Production Index in Building and Construction,2006,All building and construction,Base 2015=100,348.8908557
Volume of Production Index in Building and Construction,2006,Building (excluding civil engineering),Base 2015=100,433.4248422
Volume of Production Index in Building and Construction,2006,Residential building,Base 2015=100,820.0043668
Volume of Production Index in Building and Construction,2006,Non-residential building,Base 2015=100,158.1535589
Volume of Production Index in Building and Construction,2006,Civil engineering,Base 2015=100,163.4175945
Volume of Production Index in Building and Construction,2007,All building and construction,Base 2015=100,301.9622498
Volume of Production Index in Building and Construction,2007,Building (excluding civil engineering),Base 2015=100,361.9087572
Volume of Production Index in Building and Construction,2007,Residential building,Base 2015=100,645.3286393
Volume of Production Index in Building and Construction,2007,Non-residential building,Base 2015=100,159.9095306
Volume of Production Index in Building and Construction,2007,Civil engineering,Base 2015=100,170.7022976
Volume of Production Index in Building and Construction,2008,All building and construction,Base 2015=100,213.6974952
Volume of Production Index in Building and Construction,2008,Building (excluding civil engineering),Base 2015=100,238.3531361
Volume of Production Index in Building and Construction,2008,Residential building,Base 2015=100,353.4872659
Volume of Production Index in Building and Construction,2008,Non-residential building,Base 2015=100,155.912463
Volume of Production Index in Building and Construction,2008,Civil engineering,Base 2015=100,160.1486873
Volume of Production Index in Building and Construction,2009,All building and construction,Base 2015=100,134.8009234
Volume of Production Index in Building and Construction,2009,Building (excluding civil engineering),Base 2015=100,132.9334747
Volume of Production Index in Building and Construction,2009,Residential building,Base 2015=100,148.1185515
Volume of Production Index in Building and Construction,2009,Non-residential building,Base 2015=100,121.6356307
Volume of Production Index in Building and Construction,2009,Civil engineering,Base 2015=100,139.5950358
Volume of Production Index in Building and Construction,2010,All building and construction,Base 2015=100,94.73183816
Volume of Production Index in Building and Construction,2010,Building (excluding civil engineering),Base 2015=100,89.0902711
Volume of Production Index in Building and Construction,2010,Residential building,Base 2015=100,92.98330058
Volume of Production Index in Building and Construction,2010,Non-residential building,Base 2015=100,85.96362895
Volume of Production Index in Building and Construction,2010,Civil engineering,Base 2015=100,107.6868632
Volume of Production Index in Building and Construction,2011,All building and construction,Base 2015=100,78.92144779
Volume of Production Index in Building and Construction,2011,Building (excluding civil engineering),Base 2015=100,77.08195419
Volume of Production Index in Building and Construction,2011,Residential building,Base 2015=100,67.8702874
Volume of Production Index in Building and Construction,2011,Non-residential building,Base 2015=100,84.48019915
Volume of Production Index in Building and Construction,2011,Civil engineering,Base 2015=100,83.145573
Volume of Production Index in Building and Construction,2012,All building and construction,Base 2015=100,76.98572024
Volume of Production Index in Building and Construction,2012,Building (excluding civil engineering),Base 2015=100,68.37384753
